name,location,origin,location_country,origin_country,origin_country_1,origin_country_2,origin_country_3,origin_country_4,origin_country_5,origin_country_6
Kona Mokka Champagne Natural,"Hilo, Hawaii","Kona growing region, United States",United States,United States,United States,,,,,
Colombia Jaime Lopez,"San Diego, California","Santa Barbara, Antioquia, Colombia",United States,Colombia,Colombia,,,,,
Cordillera de Fuego Costa Rica,"Madison, Wisconsin","Tarrazu, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Kenya Gicherori AA,"San Diego, California","Embu County, Kenya",United States,Kenya,Kenya,,,,,
Ethiopia Wolde Hirbe Jemjemo Natural,"San Diego, California","Wenago district, Gedeo Zone, SNNPR, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Ethiopia Koke Honey,"Fort Wayne, Indiana","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Costa Rica Finca Tono Natural,"Peoria, Illinois","Los Robles de Naranjo, West Valley, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Good Tidings Sweet Holiday Blend,"Floyd, Virginia",Costa Rica; Ethiopia,United States,Costa Rica,Costa Rica,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Colombia Inza,"Fort Wayne, Indiana","Inza, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Santuario Peru,"Madison, Wisconsin","Cajamarca, Peru",United States,Peru,Peru,,,,,
Seven Sages Blend,"Peoria, Illinois",Colombia; Guatemala,United States,Colombia,Colombia,,,,,
